abat/o	abbot
aniz/o	anise (arom. plant)  AK
ankr/o	anchor
Ann/o	
anomali/o	
anonc/i	announce, advertize  AK
anonim/a	anonymous
anser/o	goose
Antarkt/o	
anten/o	antenna
antibiotik/o	
anticip/i	to anticipate
antikv/a	ancient, antique  AK
antilop/o	antelope
antimon/o	antimony
antipati/o	antipathy
antipod/o	antipodes
antitez/o	
antologi/o	
Anton/o	
antropolog/o	
antropologi/o	anthropology
anunciaci/o	Annunciation
anus/o	
aort/o	
aparat/o	apparatus
apart/a	separate, special  AK
apartament/o	apartments
aparten/i	belong
apati/o	apathy
apelaci/i	legal appeal, appellation
aper/i	appear
aperitiv/o	
apertur/o	aperture
apetit/o	appetite
api/o	smallage
aplaŭd/i	applaud
aplik/i	to apply
aplomb/o	self-assurance, imperturbability
apog/i	lean upon, support (trans.)  AK
apoge/o	apogee
apokrif/a	apocryphal
apolog/o	apologue
apopleksi/o	apoplexy
apostol/o	apostle
apostrof/o	
apotek/o	drug-store
apoteoz/i	
apozici/o	
apr/o	wild boar
April/o	April
aprob/i	approve
arab/o	
arabesk/o	
arane/o	spider
aranĝ/i	arrange
arb/o	tree
arbalest/o	crossbow
arbitr/a	arbitrary
arbitraci/o	arbitration
arbust/o	 shrub
arĉ/o	bow (Violin, etc.)  AK
ard/a	to be ardent, to glow
arde/o	heron
ardez/o	slate (substance)  AK
are/o	
aren/o	arena  AK
areometr/o	areometer
arest/i	arrest
argil/o	clay
argument/o	argue
arĝent/o	silver
arĥaik/a	archaic
arĥaism/o	
arĥeolog/o	archæologist
arĥeologi/o	archæology
arĥipelag/o	arcipelago
arĥitekt/o	architect
arĥitektur/o	architecture
arĥiv/o	archiv
ari/o	air
aristokrat/o	aristocrat
aristokrati/o	aristocracy (form of government)
aritmetik/o	arithmetic
ark/o	arch, bow
arkad/o	arcade
arkaik/a	archaic
arkaism/o	archaism, obsolete word
arkeolog/o	archæologist
arkeologi/o	archæology
arkipelag/o	arcipelago
arkitekt/o	architect
arkitektur/o	architecture
arkiv/o	archiv
Arkt/o	
arleken/o	harlequin
armo, arm/i	to arm  AK
arme/o	army
armen/o	
arnik/o	
arogant/a	arrogant
arom/o	aroma
arpeĝ/o	arpeggio
arsenik/o	arsenic
art/o	art
arteri/o	
artifik/o	artifice
artik/o	joint
artikol/o	article
artileri/o	artillery
artiŝok/o	artichoke
artrit/o	gout
as/o	ace
asbest/o	
asekur/i	insure
asemble/o	assembly
asert/i	assert
asesor/o	assessor
asfalt/o	asphalt
asign/i	assign
asimil/i	
asist/i	to assist (officially), to be in attendance (as experts or advisers), to support, to take part in
asoci/o	association
asonanc/o	
asparag/o	asparagus
aspekt/i	aspect
asperg/i	to sprinkle
aspid/o	asp, adder
aspir/i	to aspire
aspirin/o	
astm/o	asthma
astr/o	planet, star, heavenly body
astrolog/o	astrologer
astrologi/o	astrology
astronom/o	astronomer
astronomi/o	astronomy
atak/i	attack
atavism/o	
ateism/o	
ateist/o	atheist
atenc/i	make an attempt against, assault  AK
atend/i	wait, expect
atent/a	attentive
atest/i	attest, testify (certify)  AK
ating/i	attain, reach
Atlantik/o	Atlantic
atlas/o	satin
atlas/o	atlas
atlet/o	athlete
atmosfer/o	atmosphere
atom/o	atom
atribu/i	attribute
atribut/o	attribute
atripl/o	orach (bot.)  AK
atut/o	a trump (cards)  AK
aŭd/i	hear
aŭdac/a	audacious, bold, daring
aŭdienc/o	audience, interview
aŭditori/o	auditorium
aŭgur/i	to augur
Aŭgust/o	August
aŭkci/o	auction
aŭreol/o	aureola
aŭskult/i	listen
Aŭstrali/o	Australia
aŭt/o	car, automobile; (US) auto
aŭtentik/a	authentic
aŭtobiografi/	
aŭtobus/o	motor-bus, bus
aŭtograf/o	
aŭtokrat/o	
aŭtokrati/o	autocracy
aŭtomat/o	automaton
aŭtomobil/o	motor-car
aŭtonom/a	autonomous
aŭtor/o	author
aŭtoritat/o	authority
aŭtun/o	autumn, fall  AK
av/o	grandfather
avantaĝ/o	advantage
avar/a	covetous
avel/o	hazel-nut
aven/o	oats
aventur/o	adventure
avenu/o	avenue
avert/i	warn
aviad/o	aviation
avid/a	greedy, eager  AK
aviz/o	advice
avokad/o	
azen/o	ass
Azi/o	Asia
azil/o	
azot/o	nitrogen, azote  AK
babil/i	chatter
bacil/o	
bagatel/o	trifle, toy
bajonet/o	bayonet
bak/i	bake
bakteri/o	
bal/o	ball, dancing
bala/i	sweep (vb.)  AK
balad/o	
balanc/i	balance, swing
balast/o	ballast
balbut/i	stammer
baldaken/o	canopy
balen/o	whale
balet/o	ballet
balistik/o	
balkon/o	balcony
balon/o	
balot/i	to ballot
balustrad/o	balustrade
balzam/o	balsam
balzamin/o	
bambu/o	bamboo
ban/i	bath
banal/a	banal, hackneyed
banan/o	
band/o	band
bandaĝ/o	
banderol/o	paper band, wrapper
bandit/o	
bank/o	bank
banked/o	
bankier/o	banker
bankrot/i	become bankrupt
bant/o	knot (of ribbon, etc.)  AK
bapt/i	baptise
bar/o	bar, obstruct
barak/o	
barakt/i	throw oneself about, struggle  AK
barb/o	beard
barbar/o	barbarous
barbir/o	barber
barĉ/o	beetroot soup  AK
bard/o	bard
barel/o	keg, barrel
barelief/o	low-relief
barier/o	barrier
barikad/o	
bariton/o	baritone
bark/o	bark (ship)  AK
barometr/o	barometer
baron/o	baron
bas/o	bass (mus.)
basen/o	
bask/o	basque (of bodice, coat, etc.)  AK
baskul/o	
bast/o	bast, inner bark (tree)  AK
bastard/o	bastard
bastion/o	bulwark
baston/o	stick
bat/i	beat
batal/i	fight
batalion/o	battalion
bateri/o	battery
batist/o	
baz/o	basis, base
bazalt/o	
bazar/o	bazar  AK
bazilik/o	
bazilisk/o	basilisk
beb/o	baby
bed/o	bed (garden)
bedaŭr/i	regret, be sorry  AK
bek/o	beak
bel/a	beautiful
beladon/o	belladonna, deadly nightshade  AK
beletr/o	
beletristik/o	belles-lettres
belg/o	
bemol/o	
ben/i	bless
bend/o	tape, band
benk/o	bench
benzin/o	benzine
ber/o	berry
beril/o	
Berlin/o	
Bert/o	
best/o	animal, beast  AK
bet/o	red beet
beton/o	
betul/o	birch (tree)
bezon/i	need, want
bibli/o	Bible
bibliograf/o	
bibliografi/o	
bibliotek/o	library
bicikl/o	bicycle
bien/o	goods, estate
bier/o	beer
bifstek/o	beefsteak
bigot/o	bigot
bilanc/o	balance sheet
bilard/o	
bild/o	image, picture
bilet/o	ticket
bind/i	bind (books)
binokl/o	binocle, double eyeglass, opera-glass
biograf/o	
biografi/o	
biolog/o	
biologi/o	biology
bird/o	bird
biret/o	biretta, cap
Birm/o	
biskvit/o	biscuit
bismut/o	bismuth
bisturi/o	
bit/o	
bitum/o	bitumen
bivak/o	bivouac
bizon/o	
blank/a	white
blasfem/i	blasphemy
blat/o	blackbeetle, cockroach  AK
blazon/o	blazonry
blek/i	cry (of beasts)
blind/a	blind
blok/o	block, lump
blokad/o	blockade
blond/a	blond, fair  AK
blov/i	blow (trans.)  AK
blu/a	blue
bluf/i	
bluz/o	blouse
boa/o	boa (serpent)  AK
boac/o	
boat/o	boat, bark
boben/o	spool, bobin
boj/i	bark (dog’s)
bojkot/i	
boks/i	box (fight)
bol/i	boil (vb.)
Bolivi/o	
bomb/o	
bombard/i	bombard
bombast/o	bombast, turgidness
bombon/o	a sweet, bonbon  AK
bon/a	good
bor/i	bore (vb.)
boraks/o	borax
bord/o	shore
bordel/o	brothel
border/i	border, hem  AK
bors/o	bourse, exchange
bosk/o	bosk
bot/o	boot
botanik/o	botany
botel/o	bottle
bov/o	ox
bovl/o	bowl
bracelet/o	bracelet
bradip/o	
brak/o	arm
bram/o	bream
braman/o	
bran/o	bran
branĉ/o	branch
brand/o	brandy
brank/o	gill, fish-ear
brasik/o	cabbage
brav/a	valiant, brave
Brazil/o	
breĉ/o	
bred/i	to breed
brems/o	brake
bret/o	shelf, rack  AK
brid/o	bridle
brigad/o	
brik/o	brick
bril/i	shine
briliant/o	brilliant, gem  AK
brit/o	
broĉ/o	brooch
brod/i	embroider  AK
brog/i	scald
brokant/i	to broke
brokol/o	
brom/o	bromine
bronk/o	bronchial-tube
bronkit/o	
bronz/o	bronze
bros/o	brush
broŝur/o	pamphlet
brov/o	eye-brow
bru/i	noise
brul/i	burn (v. n.)
brun/a	brown
brust/o	breast
brut/o	head of cattle  AK
bub/o	lad, urchin  AK
bubal/o	buffalo  AK
buĉ/i	slaughter, butcher
bud/o	booth, shop
budĝet/o	budget
buduar/o	boudoir
buf/o	toad
bufed/o	buffet
buĝet/o	budget
buk/o	buckle, clasp  AK
buked/o	nosegay
bukl/o	curl, ringlet  AK
buks/o	box (tree)
bul/o	lump, clod, ball  AK
bulb/o	bulb, onion  AK
bulgar/o	
buljon/o	broth
bulk/o	manchet loaf, roll (bread)  AK
Bulonj/o	
bulten/o	bulletin
bulvard/o	boulevard
burd/o	bumble-bee, humble-bee  AK
burĝ/o	burgher
burĝon/o	bud
burlesk/a	
burnus/o	
burokrat/o	
bust/o	bust
buŝ/o	mouth
buŝel/o	bushel
buter/o	butter
butik/o	small shop  AK
buton/o	button
car/o	czar
ced/i	yield, give up
cedr/o	cedar
cejan/o	corn-flower
cel/o	aim
celeri/o	
celuloz/o	
cement/o	cement, lute
cend/o	cent (coin)
centigram/o	
centilitr/o	
centim/o	centime
centimetr/o	centimeter
centr/o	centre
central/o	centre (of activity), (generating) station, (telephone)exchange
centraliz/i	to centralize
cenzur/i	censure
cep/o	onion
ceramik-o	ceramics
cerb/o	brain
ceremoni/o	ceremony
cert/a	certain, sure
cerv/o	deer
ceter/a	rest, remainder
cic/o	
cidoni/o	quince
cidr/o	cider
cifer/o	a cipher, numerical figure  AK
cigan/o	gypsy
cigar/o	cigar
cigared/o	cigarette
cign/o	swan
cikad/o	cicada
cikatr/o	scar, cicatrice
cikl/o	
ciklon/o	
ciklop/o	
cikoni/o	stork
cikori/o	chicory
cikut/o	hemlock
cilindr/o	cylinder
cim/o	bug
cimbal/o	cymbal
cinabr/o	cinnabar
cinam/o	cinnamon
cindr/o	ash, cinder
cinik/a	
cipres/o	cypress
cir/o	shoe-polish
cirk/o	circus
cirkel/o	compasses (geom.)  AK
cirkl/o	circle
cirkonstanc/o	circumstance
cirkul/i	to circulate
cirkuler/o	circular
cirkumcid/i	
cirkumfleks/o	
cirkvit/o	circuit (electric)
cistern/o	cistern
cit/i	cite, quote, name  AK
citadel/o	citadel
citr/o	cithern, zithern  AK
citron/o	lemon
civil/a	civil (non-military)
civiliz/i	civilize  AK
civilizaci/o	civilisation
civit/o	city
col/o	inch
ĉagren/i	vex, annoy  AK
ĉam/o	wild goat
ĉambelan/o	chamberlain
ĉambr/o	room, chamber  AK
ĉampan/o	champagne
ĉampion/o	
ĉan/o	cock (of a gun)  AK
ĉap/o	cap, bonnet  AK
ĉapel/o	hat
ĉapitr/o	chapter
ĉar/o	car
ĉarlatan/o	charlatan
ĉarm/a	charm
ĉarnir/o	hinge  AK
ĉarpent/i	do carpenter’s work
ĉarpi/o	lint for a wound
ĉas/i	hunt
ĉasi/o	
ĉast/a	chaste
ĉek/o	cheque
ĉel/o	cell
ĉemiz/o	shirt
ĉen/o	chain
ĉeriz/o	cherry
ĉerk/o	coffin
ĉerp/i	draw (water, etc.)  AK
ĉes/i	cease, desist
ĉeval/o	horse
ĉevron/o	rafter
ĉiel/o	sky, heaven  AK
ĉif/i	crumple, tumble  AK
ĉifon/o	rag
ĉifr/o	cipher
ĉikan/i	cavil at, gossip mischievously  AK
ĉimpanz/o	
ĉin/o	
ĉiz/i	carve, chisel  AK
ĉokolad/o	chocolate
daktil/o	date (fruit)
dali/o	
dam/o	
damask/o	damask
dan/o	
danc/i	dance
dand/o	dandy
danĝer/o	danger
dank/i	thank
dat/o	date
dativ/o	dative
datur/o	thorn-apple, datura  AK
daŭr/o	last (intr.)  AK
debat/o	
debet/o	debit
dec/i	be fitting, proper  AK
Decembr/o	December
decid/i	decide
decigram/o	
decilitr/o	
decimal/a	
decimetr/o	
deĉifr/i	decipher
dediĉ/i	dedicate
dedukt/i	to deduce (deduction)
defend/i	defend
defi/i	
deficit/o	deficit
definitiv/a	definitive
degel/i	thaw
degener/i	degenerate
degrad/i	degrade
deĵor/i	be on duty, on service  AK
dekadenc/o	decadence
dekagram/o	
dekalitr/o	
dekametr/o	
dekan/o	dean
deklam/i	declaim
deklar/i	declare
deklaraci/o	declaration
deklinaci/o	decline (gram.)  AK
dekliv/o	declivity
dekolt/i	bare the neck
dekoraci/o	scenery, decorations
dekret/o	decree
dekstr/a	right-hand
deleg/i	delegate
delegaci/o	delegation
delfen/o	dolphin
delikat/a	delicate, fine
delir/i	be delirious, rave  AK
delt/o	
demagog/o	
demagogi/o	demagogy
demand/i	ask (a question)  AK
demografi/o	
demokrat/o	
demokrati/o	democracy
demon/o	demon
demonstraci/o	demonstration
demonstrativ/o	
denar/o	denarius (coin)  AK
dens/a	dense
dent/o	tooth
denunc/i	denounce
departement/o	
depeŝ/o	dispatch
depon/i	to deposit
deput/i	depute
deriv/i	to derive (tr.)
desegn/i	design, draw  AK
desert/o	dessert
despot/o	despot
destin/i	destine
detal/o	detailed, in detail  AK
detektiv/o	
determin/i	to determine
detru/i	destroy
dev/i	ought, must
deviz/o	device
dezert/o	a desert  AK
dezir/i	desire
dio, Di/o	God
diabet/o	
diabl/o	devil
diadem/o	diadem
diafan/a	diaphanous
diafragm/o	diaphragm
diagnoz/o	diagnosis
diagonal/o	diagonal
diakon/o	deacon
dialekt/o	dialect
dialektik/o	
dialog/o	dialogue
diamant/o	diamond
diametr/o	diameter
diant/o	pink
diapazon/o	
diboĉ/i	live in debauchery  AK
didaktik/o	
didelf/o	opossum
dies/o	
diet/o	diet
difekt/i	damage, injure
diferenc/i	differ
difin/i	define
difteri/o	diphtheria
difterit/o	diphtheria
diftong/o	diphthong
dig/o	embankment, dike  AK
digest/i	digest
dign/o	dignity
dik/a	thick, corpulent  AK
dikt/i	dictate
diktator/o	
dilem/o	
diletant/o	dilettante
diligent/a	diligent
diluv/o	deluge, flood
dimanĉ/o	Sunday
dimensi/o	dimension
dinamik/o	
dinamit/o	
dinamometr/o	
dinasti/o	dynasty
diplom/o	diploma
diplomat/o	diplomatist
diplomati/o	
dir/i	say
direkt/o	direct, steer  AK
direktor/o	director
disciplin/o	
disĉipl/o	disciple
disenteri/o	dysentery
disk/o	disk
diskont/i	discount
diskret/a	discreet
diskriminaci/i	
diskut/i	discuss
dispepsi/o	dyspepsia
dispon/i	dispose
disput/i	dispute
distanc/o	distance
distil/i	distil  AK
disting/i	distinguish
distr/i	distract
distribu/i	to distribute
distrikt/o	district
ditiramb/o	
divan/o	
diven/i	divine, guess
divers/a	various, diverse
divid/i	divide, share  AK
divizi/o	division
dizert/i	
dog/o	bulldog, mastiff
dogan/o	customs
dogm/o	
dok/o	dock, ship-basin
doktor/o	doctor
doktrin/o	doctrine
dokument/o	document
dolar/o	dollar
dolĉ/a	sweet
dolor/o	pain (vb.), hurt  AK
dom/o	house
domaĝ/i	pity (it is a pity)
domen/o	domino
don/i	give
donac/o	make a present
dorlot/i	spoil (vb.), pet (child)  AK
dorm/i	sleep
dorn/o	thorn
dors/o	back (body)  AK
dot/o	endow
doz/o	dose
dragon/o	dragoon
drak/o	dragon  AK
drakm/o	
dram/o	drama
drap/o	woollen cloth  AK
drapir/i	drape, hang (trans.)  AK
drast/a	
draŝ/i	thrash (corn)  AK
drat/o	wire
dres/i	train (soldier), tame (animal, etc.)  AK
drink/i	drink to excess, tipple  AK
driv/i	
drog/o	a drug  AK
dromedar/o	dromedary
dron/i	be drowning  AK
dualism/o	
dub/i	doubt
duel/o	duel
duet/o	duet
duk/o	duke
dukat/o	ducat
dung/i	hire, engage  AK
duŝ/o	shower-bath
eben/a	even, level  AK
ebon/o	ebony
ebri/a	drunk
ebur/o	ivory
Eden/o	Eden
edif/i	edify
edikt/o	edict
eduk/i	educate
edz/o	married person, husband
efekt/o	effect
efektiv/a	real, actual
efemer/o	ephemeral
efik/i	be effectual, work (intr.)  AK
egal/a	equal
egid/o	Ægis
egoism/o	egoism
egoist/o	egoist
eĥ/o	echo
ekip/i	
eklezi/o	the Church
eklips/o	eclipse
eklog/o	
ekologi/o	
ekonomi/o	economy
ekran/o	screen
ekscelenc/o	Excellency (title)  AK
eksces/o	
ekscit/i	excite
ekskluziv/a	
ekskomunik/i	
ekskrement/o	excrement
ekskurs/i	excursion
eksped/i	dispatch, forward  AK
eksperiment/o	experiment
eksplod/i	explode
ekspluat/i	
eksport/i	export
ekspozici/o	exhibition  AK
ekspres/a	express, messenger
ekstaz/o	ecstasy
eksterm/i	exterminate
ekstr/a	extra  AK
ekstrakt/o	extract
ekstrem/a	extreme
ekvaci/o	equation
Ekvador/o	
ekvator/o	equator
ekvilibr/o	equilibrium
ekzakt/a	exact (math.)
ekzamen/i	try, examine
ekzekut/i	execute, put to death  AK
ekzem/o	eczema
ekzempl/o	example
ekzempler/o	copy (of a book, etc.)  AK
ekzerc/i	practise, exercise (vb.)  AK
ekzil/i	banish, exile
ekzist/i	exist
elast/a	elastic  AK
elefant/o	elephant
elegant/a	elegant
elegi/o	elegy
elekt/i	choose
elektr/o	electricity
elektronik/o	electronics
element/o	element
elf/o	
eliksir/o	elixir
elips/o	ellipse
Elizabet/o	
elizi/i	elision
elokvent/a	eloquent
emajl/o	enamel
emancip/i	emancipate
embaras/o	embarrassment, perplexity  AK
emblem/o	emblem
embri/o	embryo
embusk/o	ambush
emerit/o	retired person, emeritus
emfaz/o	emphasis
Emili/o	
eminenc/o	Eminence (title)
eminent/a	eminent
emoci/o	emotion
empiri/o	empirics
emulsi/o	emulsion
enciklopedi/o	
endivi/o	
energi/o	energy
enigm/o	puzzle
enket/i	inquiry, inquest
entomolog/o	
entomologi/o	
entrepren/i	undertake
entuziasm/o	enthusiasm
enu/i	be bored, weary  AK
envi/i	envy
epidemi/o	epidemic
epiderm/o	epidermis
Epifani/o	
epigraf/o	epigraph
epigram/o	epigram
epilepsi/o	epilepsy
epilog/o	epilogue
episkop/o	bishop
epitet/o	epithet
epizod/o	episode
epok/o	epoch
epolet/o	epaulet, shoulder-strap
epope/o	epopee
erar/i	err, mistake
erik/o	heath
erinac/o	hedgehog
erizipel/o	erysipelas
ermen/o	ermine
ermit/o	hermit, solitary
Ernest/o	
erotik/a	erotic
erp/i	harrow (vb.)  AK
erudici/o	erudition
erupci/o	eruption
escept/i	except
esenc/o	essence
eskadr/o	squadron
eskap/i	to escape
eskort/i	
esper/i	hope
Esperant/o	
esplor/i	investigate, explore  AK
esprim/i	express (vb.)
est/i	be
establ/i	to establish
estetik/o	aesthetic
estim/i	esteem
esting/i	extinguish
eston/o	
estrad/o	estrade, platform
eŝafod/o	scaffold
etaĝ/o	story (of a house)  AK
etap/o	stage, halting-place, stopover
etat/o	statement (finance etc.)  AK
etend/i	extend
eter/o	ether
etern/a	eternal
etik/o	ethics
etiked/o	
etiket/o	etiquette
etimolog/o	
etimologi/o	
etiolog/o	
etiologi/o	etiology
etiop/o	
etn/o	
etnograf/o	
etnografi/o	
etnologi/o	
etos/o	
eŭfemism/o	
eŭkalipt/o	
Eŭkaristi/o	
eŭnuk/o	
eŭr/o	
Eŭrop/o	
Evangeli/o	Gospel
event/o	event
eventual/a	eventual
evident/a	evident
evit/i	avoid
evolu/i	
evoluci/o	evolution
ezofag/o	œsophagus
ezok/o	pike (fish)
fab/o	bean
fabel/o	tale, story
fabl/o	fable
fabrik/o	 (noto)
fac/o	face (of an object)
facet/o	facet
facil/a	easy
faden/o	thread (a)  AK
fag/o	beech-tree
fagot/o	bassoon, fagotto
fajenc/o	delft ware
fajf/i	whistle (vb.)  AK
fajl/i	file (vb.)  AK
fajr/o	fire
fak/o	department, compartment  AK
fakir/o	
faksimil/o	facsimile
fakt/o	fact
faktor/o	
faktur/o	invoice  AK
fakultat/o	faculty (of a University)
fal/i	fall
falang/o	phalanx
falbal/o	flounce, furbelow  AK
falĉ/i	mow, cut grass
faldo, fald/i	fold, pleat (vb.)  AK
falk/o	falcon
falsa, fals/i	falsify
fam/a	rumour, report, fame  AK
famili/o	family
familiar/a	
fanatik/a	
fand/i	melt, smelt (vb.)  AK
fanfar/o	
fanfaron/i	boast, brag
fantazi/o	fancy, fantasy
fantom/o	phantom, spectre  AK
far/i	do, make  AK
farb/o	paint
farĉ/o	
faring/o	pharynx  AK
farm/i	take on lease  AK
farmaci/o	pharmacy
fars/o	farce
fart/i	be (well or unwell)
farun/o	meal, flour  AK
fasad/o	façade
fask/o	bundle
fason/o	fashion, make, cut (of clothes, etc.)  AK
fast/i	fast (vb.)
fatal/a	destiny, fate
faŭk/o	jaw
fav/o	kind of ringworm  AK
favor/a	favorable
faz/o	phase
fazan/o	pheasant
fazeol/o	kidney bean
fe/o	
febr/o	fever
Februar/o	February
feĉ/o	lees, dregs  AK
feder/i	to federate
federaci/o	federation
fek/i	
fel/o	hide, fleece
feliĉ/a	happy
felieton/o	feuilleton
felt/o	felt (cloth)  AK
feminism/o	
feminist/o	
femur/o	thigh
fend/o	split
fenestr/o	window
feniks/o	
fenkol/o	fennel
fenomen/o	phenomenon
fer/o	iron
ferdek/o	deck (of ship)  AK
feri/o	holidays
ferm/i	shut
ferment/o	ferment
fervor/a	zeal, ardour
fest/i	celebrate  AK
festen/i	feast, banquet
festival/o	
feston/o	festoon
fetiĉ/o	fetish
feŭd/o	feud
fiakr/o	
fianĉ/o	betrothed person
fiask/o	fiasco
fibr/o	fibre
fid/i	rely upon, trust on
fidel/a	faithful
fier/a	proud
fig/o	fig
figur/o	figure, represent
fikci/o	fiction
fiksa, fiks/i	fix
fiktiv/a	fictitious
fil/o	son
filantrop/o	philanthroper
filantropi/o	philanthropy
fili/o	branch (of firm, of office)
filik/oj	fern
film/o	film
filolog/o	philologer
filologi/o	philology
filozof/o	philosopher
filozofi/o	philosophy
filtr/i	strain, filter
fin/i	finish, end (trans.)  AK
final/o	finale
financ/o	finance
fingr/o	finger
firm/a	firm
fisk/o	fisc
fistul/o	fistula
fiŝ/o	fish
fizik/o	physics
fiziolog/o	
fiziologi/o	physiology
fizionomi/o	physiognomy
fjord/o	
flag/o	flag
flagr/i	to blaze, flash, flare
flam/o	flame
flan/o	flawn
flanel/o	flannel
flank/o	side
flar/i	smell (vb.)
flat/i	flatter
flav/a	yellow
fleg/i	nurse, tend  AK
flegm/o	phlegm
fleks/i	bend
fleksi/o	inflection
flik/i	patch, repair
flirt/i	flirt, flutter
flok/o	flake, fluck
flor/o	bloom, flower (vb.)  AK
floren/o	
flos/o	float, raft
flu/i	flow
flug/i	fly (vb.)
fluid/o	fluid
flustr/i	to whisper
flut/o	flute
foir/o	fair (subst.)
foj/o	time (e. g. three times etc.)
fojn/o	hay
fok/o	seal (animal)
fokus/o	focus
foli/o	leaf, sheet (paper)  AK
folklor/o	
fon/o	background
fond/i	found
fonetik/o	phonetic
fonograf/o	
font/o	fountain
fontan/o	fountain  AK
forges/i	forget
forĝ/i	forge (smith’s work)  AK
fork/o	fork
form/o	form
formal/a	
format/o	size (of a book)
formik/o	ant
formul/o	formula
forn/o	stove, furnace, oven  AK
fort/a	strong
fortepian/o	pianoforte  AK
fortik/a	solid, durable, robust  AK
forum/o	
foso, fos/i	dig
fosfor/o	phosphorus
fost/o	post, stake
fot/o	
fotel/o	easy-chair, armchair, (fauteuil)
fotograf/i	photograph
fotografi/o	photography
